Date,Time,Price,Bid,Ask,Size
02/03/2020,09:30:00,127.34,127.31,127.35,17978
02/03/2020,09:30:01,127.22,127.22,127.45,100
02/03/2020,09:31:04,127.53,127.35,127.53,237
02/03/2020,09:31:26,127.41,127.41,127.45,100
02/03/2020,09:31:26,127.41,127.4,127.43,100
02/03/2020,09:31:26,127.42,127.42,127.44,200
02/03/2020,09:31:26,127.42,127.41,127.43,100
02/03/2020,09:31:26,127.42,127.41,127.43,100
02/03/2020,09:31:26,127.43,127.42,127.44,100
02/03/2020,09:31:26,127.43,127.42,127.44,100
02/03/2020,09:31:27,127.43,127.43,127.45,100
02/03/2020,09:31:27,127.43,127.42,127.43,100
02/03/2020,09:31:27,127.43,127.42,127.43,100
02/03/2020,09:31:28,127.42,127.41,127.42,179
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,200
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:28,127.41,127.41,127.42,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.4,127.39,127.4,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,500
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
02/03/2020,09:31:29,127.41,127.4,127.41,100
