"RMSE" "MAPE" "model"
"1" 0.000970292013468317 111.514517528018 "OLS-extended-daily"
"2" 0.000889951559161732 104.071188540017 "OLS-base-daily"
"3" 0.0011168990831486 47.1733618589801 "OLS-extendedLog-daily"
"4" 0.00113971434565762 49.1209487776625 "OLS-baseLog-daily"
"5" 0.00112539094047603 116.707354681033 "OLS-extended-weekly"
"6" 0.000963495462568693 107.945087338765 "OLS-base-weekly"
"7" 0.00111046212667811 48.773060801768 "OLS-extendedLog-weekly"
"8" 0.000857348519729801 45.2284415851146 "OLS-baseLog-weekly"
"9" 0.000919093295670123 75.2889047722029 "WLS-extended-daily"
"10" 0.000891025016669401 81.0982471740583 "WLS-base-daily"
"11" 0.00114197019281193 47.5047931272994 "WLS-extendedLog-daily"
"12" 0.00111386950904128 49.0327912250513 "WLS-baseLog-daily"
"13" 0.000927722366764567 77.1729813172483 "WLS-extended-weekly"
"14" 0.000937435355735062 83.9507483799641 "WLS-base-weekly"
"15" 0.00119703407931392 49.720995331026 "WLS-extendedLog-weekly"
"16" 0.000847377428448285 45.0657732817214 "WLS-baseLog-weekly"
"17" 0.000855571733829886 81.961222159696 "RF-extended-daily"
"18" 0.000914997301962145 83.4275058335034 "RF-base-daily"
"19" 0.00077833460717488 47.5667369914709 "RF-extendedLog-daily"
"20" 0.000800225472559053 50.4243418923358 "RF-baseLog-daily"
"21" 0.000867831111274693 88.5674285877912 "RF-extended-weekly"
"22" 0.000905829296710778 97.6215394334177 "RF-base-weekly"
"23" 0.000787239633208114 51.5702001712701 "RF-extendedLog-weekly"
"24" 0.000800559938961309 56.1148063515207 "RF-baseLog-weekly"
"25" 0.00107478466084197 129.231939210974 "XGB-extended-daily"
"26" 0.00106624510503972 139.147274177827 "XGB-base-daily"
"27" 0.000817205660576186 51.287156535387 "XGB-extendedLog-daily"
"28" 0.000813158395313018 50.3830431759684 "XGB-baseLog-daily"
"29" 0.000991695783302901 132.962228276054 "XGB-extended-weekly"
"30" 0.00107721294729371 145.634529977948 "XGB-base-weekly"
"31" 0.000771719084001958 56.1449281304725 "XGB-extendedLog-weekly"
"32" 0.000784100282302653 54.3281175697816 "XGB-baseLog-weekly"
